Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Type,Date,Number of the Month,Number of the Day,Number of the Year,Offset,Link to the Webflow update node,Special icon,Notes
IE6 is Dead,ie6-is-dead,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f67202f,Thu Aug 08 2019 15:59:17 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:59:17 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),history,Sat Feb 09 2019 00:00:00 GMT+0000 (Coordinated Universal Time),2,9,2019,2,https://tech.slashdot.org/story/19/02/09/050208/please-stop-using-internet-explorer-microsoft-says,,
Series A Funding,72-million-series-a-funding,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f3f,Thu Aug 08 2019 15:31:59 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 10:36:43 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),milestone,Wed Aug 07 2019 00:00:00 GMT+0000 (Coordinated Universal Time),8,7,2019,7,https://www.forbes.com/sites/alexkonrad/2019/08/07/webflow-went-from-near-bankruptcy-to-72-million-series-a/#7b9a9f5410af,,
Multi-images field,multi-images-field,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f92,Thu Aug 08 2019 15:28:49 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:28:49 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu Jul 11 2019 00:00:00 GMT+0000 (Coordinated Universal Time),7,11,2019,5,,,
Lightbox Galleries for CMS,lightbox-galleries-for-cms,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fc0,Thu Aug 08 2019 15:27:01 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:27:01 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Tue Jul 02 2019 00:00:00 GMT+0000 (Coordinated Universal Time),7,2,2019,4,,,
CSS Grid R2,css-grid-r2,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fa1,Thu Aug 08 2019 15:26:03 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:26:03 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Tue May 21 2019 00:00:00 GMT+0000 (Coordinated Universal Time),5,21,2019,3,,,
Left side navigator,left-side-navigator,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f74,Thu Aug 08 2019 15:25:22 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:25:22 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Tue May 14 2019 00:00:00 GMT+0000 (Coordinated Universal Time),5,14,2019,2,,,
Link to spe. Designer page,link-to-specific-pages-in-the-designer,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fdf,Thu Aug 08 2019 15:24:24 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:36:17 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Apr 05 2019 00:00:00 GMT+0000 (Coordinated Universal Time),4,5,2019,1,,,
Apple Pay & web payments,apple-pay-web-payments,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fce,Thu Aug 08 2019 15:23:12 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:23:12 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Mar 08 2019 00:00:00 GMT+0000 (Coordinated Universal Time),3,8,2019,8,,,
Ecommerce 1.0,ecommerce-1-0,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fb4,Thu Aug 08 2019 15:22:26 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:22:26 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),major-feature,Tue Feb 19 2019 00:00:00 GMT+0000 (Coordinated Universal Time),2,19,2019,7,https://webflow.com/ecommerce,,
Style Panel UI Refresh,style-panel-ui-refresh,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f672033,Thu Aug 08 2019 15:21:35 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:21:35 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Tue Jan 15 2019 00:00:00 GMT+0000 (Coordinated Universal Time),1,15,2019,6,,,
Pagination,pagination,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f22,Thu Aug 08 2019 15:20:38 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:20:38 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Sat Dec 15 2018 00:00:00 GMT+0000 (Coordinated Universal Time),12,15,2018,5,,,
Firefox support,firefox-support,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fb6,Thu Aug 08 2019 15:19:30 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:19:30 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Wed Nov 28 2018 00:00:00 GMT+0000 (Coordinated Universal Time),11,28,25018,4,,,
Ecommerce Beta,ecommerce-beta,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fcd,Thu Aug 08 2019 15:18:38 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:18:38 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),major-feature,Wed Nov 14 2018 00:00:00 GMT+0000 (Coordinated Universal Time),11,14,2018,3,https://webflow.com/blog/webflow-ecommerce-is-now-in-beta,,
CSS Grid,css-grid,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fa8,Thu Aug 08 2019 15:17:30 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:17:30 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),major-feature,Wed Oct 10 2018 00:00:00 GMT+0000 (Coordinated Universal Time),10,10,2018,2,https://webflow.com/grid,,
Export CMS as CSV,export-cms-as-csv,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f39,Thu Aug 08 2019 15:16:41 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:16:41 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Wed Oct 03 2018 00:00:00 GMT+0000 (Coordinated Universal Time),10,3,2018,1,https://webflow.com/feature/export-content-as-a-csv,,
Add files as CMS fields,add-files-as-cms-fields,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f93,Thu Aug 08 2019 15:15:46 GMT+0000 (Coordinated Universal Time),Thu Aug 08 2019 15:15:46 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Wed Aug 22 2018 00:00:00 GMT+0000 (Coordinated Universal Time),8,22,2018,8,,,
